00000001,560,2024-11-25 05:00:00
00000002,463,2024-11-25 05:00:00
00000003,599,2024-11-25 05:00:00
00000004,532,2024-11-25 05:00:00
00000005,425,2024-11-25 05:00:00
00000001,1016,2024-11-25 06:00:00
00000002,695,2024-11-25 06:00:00
00000003,885,2024-11-25 06:00:00
00000004,1078,2024-11-25 06:00:00
00000005,802,2024-11-25 06:00:00
00000001,1364,2024-11-25 07:00:00
00000002,919,2024-11-25 07:00:00
00000003,1337,2024-11-25 07:00:00
00000004,1584,2024-11-25 07:00:00
00000005,1363,2024-11-25 07:00:00
00000001,1585,2024-11-25 08:00:00
00000002,1407,2024-11-25 08:00:00
00000003,1888,2024-11-25 08:00:00
00000004,1889,2024-11-25 08:00:00
00000005,1889,2024-11-25 08:00:00
00000001,1823,2024-11-25 09:00:00
00000002,1625,2024-11-25 09:00:00
00000003,2485,2024-11-25 09:00:00
00000004,2425,2024-11-25 09:00:00
00000005,2259,2024-11-25 09:00:00
00000001,2350,2024-11-25 10:00:00
00000002,1940,2024-11-25 10:00:00
00000003,2724,2024-11-25 10:00:00
00000004,2820,2024-11-25 10:00:00
00000005,2627,2024-11-25 10:00:00
00000001,2946,2024-11-25 11:00:00
00000002,2450,2024-11-25 11:00:00
00000003,3111,2024-11-25 11:00:00
00000004,3083,2024-11-25 11:00:00
00000005,3159,2024-11-25 11:00:00
00000001,3540,2024-11-25 12:00:00
00000002,2935,2024-11-25 12:00:00
00000003,3609,2024-11-25 12:00:00
00000004,3671,2024-11-25 12:00:00
00000005,3397,2024-11-25 12:00:00
00000001,3932,2024-11-25 13:00:00
00000002,3177,2024-11-25 13:00:00
00000003,3903,2024-11-25 13:00:00
00000004,4001,2024-11-25 13:00:00
00000005,3602,2024-11-25 13:00:00
00000001,4368,2024-11-25 14:00:00
00000002,3664,2024-11-25 14:00:00
00000003,4254,2024-11-25 14:00:00
00000004,4427,2024-11-25 14:00:00
00000005,3941,2024-11-25 14:00:00
00000001,4671,2024-11-25 15:00:00
00000002,4070,2024-11-25 15:00:00
00000003,4710,2024-11-25 15:00:00
00000004,4628,2024-11-25 15:00:00
00000005,4216,2024-11-25 15:00:00
00000001,4889,2024-11-25 16:00:00
00000002,4291,2024-11-25 16:00:00
00000003,5041,2024-11-25 16:00:00
00000004,4835,2024-11-25 16:00:00
00000005,4422,2024-11-25 16:00:00
00000001,5253,2024-11-25 17:00:00
00000002,4550,2024-11-25 17:00:00
00000003,5407,2024-11-25 17:00:00
00000004,5258,2024-11-25 17:00:00
00000005,4937,2024-11-25 17:00:00
00000001,5784,2024-11-25 18:00:00
00000002,4965,2024-11-25 18:00:00
00000003,5729,2024-11-25 18:00:00
00000004,5723,2024-11-25 18:00:00
00000005,5229,2024-11-25 18:00:00
00000001,6350,2024-11-25 19:00:00
00000002,5386,2024-11-25 19:00:00
00000003,5958,2024-11-25 19:00:00
00000004,5953,2024-11-25 19:00:00
00000005,5535,2024-11-25 19:00:00
00000001,6831,2024-11-25 20:00:00
00000002,5757,2024-11-25 20:00:00
00000003,6248,2024-11-25 20:00:00
00000004,6449,2024-11-25 20:00:00
00000005,5991,2024-11-25 20:00:00
00000001,7169,2024-11-25 21:00:00
00000002,6154,2024-11-25 21:00:00
00000003,6587,2024-11-25 21:00:00
00000004,6930,2024-11-25 21:00:00
00000005,6544,2024-11-25 21:00:00
00000001,7547,2024-11-25 22:00:00
00000002,6746,2024-11-25 22:00:00
00000003,6816,2024-11-25 22:00:00
00000004,7377,2024-11-25 22:00:00
00000005,7070,2024-11-25 22:00:00
00000001,7878,2024-11-25 23:00:00
00000002,7337,2024-11-25 23:00:00
00000003,7047,2024-11-25 23:00:00
00000004,7933,2024-11-25 23:00:00
00000005,7340,2024-11-25 23:00:00
00000001,8089,2024-11-26 01:00:00
